Language_ID	Word_Order	Flexivity	Gender_or_Noun_Class	Locus_of_Marking	Fusion	Informativity
abar1238	0.7272727272727273	0.3333333333333333	0.6470588235294118	0.16666666666666666	0.20535714285714288	0.2830188679245283
abkh1244	0.18181818181818182	0.26666666666666666	0.47058823529411764	0.5	0.4918032786885245	0.49019607843137253
abua1245	0.42857142857142855	0.3076923076923077	0.6470588235294118	0.35294117647058826	0.3727272727272727	0.2857142857142857
abun1252	0.6363636363636364	0.06666666666666667	0.11764705882352941	0.47058823529411764	0.07377049180327871	0.2727272727272727
acha1249	0.2727272727272727	0.06896551724137931	0.058823529411764705	0.42424242424242425	0.01694915254237289	0.2037037037037037
achi1256	0.6666666666666666	0.12	0.11764705882352941	0.5294117647058824	0.3947368421052631	0.3617021276595745
achi1257	0.5454545454545454	0.03333333333333333	0.11764705882352941	0.5588235294117647	0.19672131147540975	0.25925925925925924
achu1248	0.4444444444444444	0.06896551724137931	0.17647058823529413	0.4411764705882353	0.41803278688524587	0.3018867924528302
acol1236	0.8	0.14285714285714285	0.17647058823529413	0.6470588235294118	0.33928571428571425	0.28
adan1251	0.5555555555555556	0.11538461538461539	0.11764705882352941	0.5294117647058824	0.2321428571428571	0.36538461538461536
adon1237	0.6666666666666666	0	0.17647058823529413	0.5882352941176471	0.12931034482758622	0.15217391304347827
adze1240	0.6363636363636364	0.058823529411764705	0.42857142857142855	0.43333333333333335	0.14150943396226415	0.30952380952380953
afar1241	0.18181818181818182	0.18518518518518517	0.29411764705882354	0.4117647058823529	0.3934426229508195	0.2962962962962963
aghe1239	0.7272727272727273	0.3	0.5882352941176471	0.35294117647058826	0.2627118644067797	0.3584905660377358
aghu1255	0.2727272727272727	0.16666666666666666	0.29411764705882354	0.5294117647058824	0.3	0.3076923076923077
aghw1237	0.375	0.25	0.4117647058823529	0.28	0.4375	0.3333333333333333
agob1244	0.2727272727272727	0.16666666666666666	0.17647058823529413	0.47058823529411764	0.4344262295081968	0.32727272727272727
agua1253	0.3333333333333333	0.03571428571428571	0.1875	0.5294117647058824	0.4649122807017544	0.41304347826086957
agut1237	0.5555555555555556	0.04	0.17647058823529413	0.45454545454545453	0.2982456140350877	0.3404255319148936
aheu1239	0.7272727272727273	0.06666666666666667	0.17647058823529413	0.4411764705882353	0	0.25925925925925924
ahom1240	0.6363636363636364	0.06666666666666667	0.058823529411764705	0.47058823529411764	0	0.25
aime1238	0.2727272727272727	0.14285714285714285	0.23529411764705882	0.34375	0.3425925925925926	0.36
ainu1240	0.09090909090909091	0.30434782608695654	0.11764705882352941	0.6875	0.38793103448275856	0.3877551020408163
ajab1235	0.7272727272727273	0.03333333333333333	0.17647058823529413	0.40625	0.02586206896551724	0.24
ajie1238	0.7272727272727273	0	0.13333333333333333	0.40625	0.18269230769230768	0.3488372093023256
akab1249	0.5454545454545454	0.16666666666666666	0.23529411764705882	0.5882352941176471	0.3688524590163935	0.2545454545454545
akha1245	0.1111111111111111	0.11538461538461539	0.058823529411764705	0.46875	0.01886792452830189	0.32608695652173914
akka1240	0.5555555555555556	0.2962962962962963	0.6470588235294118	0.48484848484848486	0.5181818181818182	0.32
akla1240	0.625	0.041666666666666664	0.17647058823529413	0.36666666666666664	0.25471698113207547	0.3829787234042553
akoo1248	0.7272727272727273	0.24	0.5714285714285714	0.4411764705882353	0.4000000000000001	0.42
akun1241	0.3333333333333333	0.1	0.23529411764705882	0.5294117647058824	0.3303571428571429	0.3469387755102041
alab1237	0.2727272727272727	0.20689655172413793	0.125	0.6176470588235294	0.4666666666666666	0.3469387755102041
